date,cin,account_no,account_type,product_name,sectors,customer_name,contact_no,email,pan,aadhar_no,customer_addr,pin
,1,AA12,SA1,Real Estate,Materials,Reliance Industries Limited,,,,,,
,2,AA13,CA2,LAS,Industrials,Reliance Retail Limited,,,,,,
,3,AA14,CA2,LAP,Financials,Tata Motors Limited,,,,,,
,4,AA15,CA2,Credit Card,Energy,Tata Power Limited,,,,,,
,5,AA16,CA2,Home Loans,Consumer discretionary,,,,,,,
,6,AA17,CA2,Home Loans,Information technology,,,,,,,
,7,AA18,CA2,Home Loans,Communication services,,,,,,,
,8,AA19,SA1,Home Loans,Real estate,,,,,,,
,9,AA20,SA1,Home Loans,Health care,,,,,,,
,10,AA21,SA1,Credit Card,Consumer staples,,,,,,,
,11,AA22,SA1,Credit Card,Utilities,,,,,,,
,12,AA23,SA1,Credit Card,Materials,,,,,,,
,13,AA24,SA1,Credit Card,Industrials,,,,,,,
,14,AA25,SA1,Credit Card,Financials,,,,,,,
,15,AA26,SA1,Credit Card,Energy,,,,,,,
,16,AA27,SA1,Credit Card,Consumer discretionary,,,,,,,
,17,AA28,IA1,Real Estate,Information technology,,,,,,,
,18,AA29,IA1,Real Estate,Communication services,,,,,,,
,19,AA30,IA1,LAS,Real estate,,,,,,,
,20,AA31,IA1,LAP,Health care,,,,,,,
,1,D_AA12,SA1,Real Estate,Materials,,,,,,,
,2,D_AA13,CA2,LAS,Industrials,,,,,,,
,3,D_AA14,CA2,LAP,Financials,,,,,,,
,4,D_AA15,CA2,Credit Card,Energy,,,,,,,
,5,D_AA16,CA2,Home Loans,Consumer discretionary,,,,,,,
,6,D_AA17,CA2,Home Loans,Information technology,,,,,,,
,7,D_AA18,CA2,Home Loans,Communication services,,,,,,,
,8,D_AA19,SA1,Home Loans,Real estate,,,,,,,
,9,D_AA20,SA1,Home Loans,Health care,,,,,,,
,10,D_AA21,SA1,Credit Card,Consumer staples,,,,,,,
,11,D_AA22,SA1,Credit Card,Utilities,,,,,,,
,12,D_AA23,SA1,Credit Card,Materials,,,,,,,
,13,D_AA24,SA1,Credit Card,Industrials,,,,,,,
,14,D_AA25,SA1,Credit Card,Financials,,,,,,,
,15,D_AA26,SA1,Credit Card,Energy,,,,,,,
,16,D_AA27,SA1,Credit Card,Consumer discretionary,,,,,,,
,17,D_AA28,IA1,Real Estate,Information technology,,,,,,,
,18,D_AA29,IA1,Real Estate,Communication services,,,,,,,
,19,D_AA30,IA1,LAS,Real estate,,,,,,,
,20,D_AA31,IA1,LAP,Health care,,,,,,,
