date,account_no,outstanding_amount,undrawn_upto_1_yr,undrawn_greater_than_1_yr,,,,,,,,,,,,
2020-12-01,AA12,10000,15000,5000,,,,,,,,,,,,
2020-12-01,AA13,10001,15001,5001,,,,,,,,,,,,
2020-12-01,AA14,10002,15002,5002,,,,,,,,,,,,
2020-12-01,AA15,10003,15003,5003,,,,,,,,,,,,
2020-12-01,AA16,10004,15004,5004,,,,,,,,,,,,
2020-12-01,AA17,10005,15005,5005,,,,,,,,,,,,
2020-12-01,AA18,10006,15006,5006,,,,,,,,,,,,
2020-12-01,AA19,10007,15007,5007,,,,,,,,,,,,
2020-12-01,AA20,10008,15008,5008,,,,,,,,,,,,
2020-12-01,AA21,10009,15009,5009,,,,,,,,,,,,
2020-12-01,AA22,10010,15010,5010,,,,,,,,,,,,
2020-12-01,AA23,10011,15011,5011,,,,,,,,,,,,
2020-12-01,AA24,10012,15012,5012,,,,,,,,,,,,
2020-12-01,AA25,10013,15013,5013,,,,,,,,,,,,
2020-12-01,AA26,10014,15014,5014,,,,,,,,,,,,
2020-12-01,AA27,10015,15015,5015,,,,,,,,,,,,
2020-12-01,AA28,10016,15016,5016,,,,,,,,,,,,
2020-12-01,AA29,10017,15017,5017,,,,,,,,,,,,
2020-12-01,AA30,10018,15018,5018,,,,,,,,,,,,
2020-12-01,AA31,10019,15019,5019,,,,,,,,,,,,
2020-12-01,AA32,10020,15020,5020,,,,,,,,,,,,
